query,you_metrics,tavily_metrics,parallel_agentic_metrics,valyu_metrics,parallel_oneshot_metrics,linkup_deep_metrics,linkup_standard_metrics,exa_metrics,perplexity_metrics,winner,win_reason
AMO Nodebench 'AMO' 'Nodebench' integration 'AMO' 'Nodebench',"{'completeness_score': 0.5, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 0.7878940105438232, 'word_count': 159, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.5, 'specificity_score': 0.6, 'source_quality': 0.6, 'response_time': 1.5581977367401123, 'word_count': 23, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.34999999999999987, 'source_quality': 0.6, 'response_time': 5.552337884902954, 'word_count': 3578, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.65, 'actionability': 0.8999999999999999}","{'completeness_score': 0.5, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7, 'response_time': 1.3644418716430664, 'word_count': 85, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7000000000000001, 'specificity_score': 0.2999999999999998, 'source_quality': 0.7, 'response_time': 2.784313917160034, 'word_count': 6250, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.8999999999999999}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7, 'specificity_score': 0.6, 'source_quality': 0.7, 'response_time': 10.056934833526611, 'word_count': 246, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.75, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 8.062404870986938, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 8.003782033920288, 'word_count': 425, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",perplexity,provides specific numbers; has quality sources
Nodebench Node.js 'Nodebench' 'bench-node' 'node-bench' benchmarking library,"{'completeness_score': 0.7285714285714285, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 0.8448829650878906, 'word_count': 89, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.6714285714285714, 'specificity_score': 0.5, 'source_quality': 0.7, 'response_time': 1.6878671646118164, 'word_count': 29, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.4999999999999999, 'source_quality': 0.7, 'response_time': 6.517445802688599, 'word_count': 1197, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.7}","{'completeness_score': 0.7285714285714285, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 1.5368399620056152, 'word_count': 184, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.44999999999999984, 'source_quality': 0.6, 'response_time': 2.6821281909942627, 'word_count': 6646, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 0.7}","{'completeness_score': 0.8714285714285713, 'specificity_score': 0.24999999999999992, 'source_quality': 1.0, 'response_time': 18.643171072006226, 'word_count': 286, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.5285714285714286, 'specificity_score': 0.44999999999999996, 'source_quality': 0.9999999999999999, 'response_time': 6.660776853561401, 'word_count': 163, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.736624002456665, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.24999999999999992, 'source_quality': 0.6, 'response_time': 19.87764811515808, 'word_count': 439, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.85, 'actionability': 0.5}",you,provides specific numbers; has quality sources
AMO machine learning 'AMO' 'machine learning' term 'AMO ML',"{'completeness_score': 0.5444444444444444, 'specificity_score': 0.35, 'source_quality': 0.8999999999999999, 'response_time': 0.8379640579223633, 'word_count': 197, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.43333333333333335, 'specificity_score': 0.6, 'source_quality': 0.7, 'response_time': 1.5358219146728516, 'word_count': 31, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7444444444444444, 'specificity_score': 0.2999999999999998, 'source_quality': 0.9999999999999999, 'response_time': 10.940709114074707, 'word_count': 4340, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.30000000000000004, 'actionability': 0.7}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.5499999999999999, 'source_quality': 1.0, 'response_time': 5.1676249504089355, 'word_count': 235, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7444444444444444, 'specificity_score': 0.4999999999999999, 'source_quality': 0.7999999999999999, 'response_time': 2.678806781768799, 'word_count': 4929, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 0.6333333333333333, 'specificity_score': 0.6, 'source_quality': 1.0, 'response_time': 11.322827100753784, 'word_count': 167, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.43333333333333335, 'specificity_score': 0.6, 'source_quality': 1.0, 'response_time': 6.670525074005127, 'word_count': 181, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 11.291760921478271, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7444444444444444, 'specificity_score': 0.24999999999999992, 'source_quality': 0.8999999999999999, 'response_time': 17.52987003326416, 'word_count': 446, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",linkup_deep,provides specific numbers; has quality sources
AMO Nodebench 'AMO' 'Nodebench',"{'completeness_score': 0.55, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.8188037872314453, 'word_count': 124, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.6, 'specificity_score': 0.5, 'source_quality': 0.6, 'response_time': 1.4393131732940674, 'word_count': 41, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.14999999999999983, 'source_quality': 0.7, 'response_time': 9.108318090438843, 'word_count': 7951, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 0.8999999999999999}","{'completeness_score': 0.55, 'specificity_score': 0.5499999999999999, 'source_quality': 1.0, 'response_time': 3.7934348583221436, 'word_count': 267, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.2499999999999998, 'source_quality': 0.7, 'response_time': 3.7934579849243164, 'word_count': 6273, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 1.0}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.6, 'specificity_score': 0.35, 'source_quality': 0.7, 'response_time': 5.947082042694092, 'word_count': 212, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.224372863769531, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 8.710266828536987, 'word_count': 372, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",perplexity,provides specific numbers; has quality sources
Nodebench Node.js benchmark 'Nodebench' project,"{'completeness_score': 1.0, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7, 'response_time': 0.8256967067718506, 'word_count': 131, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.5, 'source_quality': 0.7, 'response_time': 2.0549628734588623, 'word_count': 40, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.14999999999999983, 'source_quality': 0.6, 'response_time': 4.898017168045044, 'word_count': 3462, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 0.7}","{'completeness_score': 0.5, 'specificity_score': 0.7, 'source_quality': 1.0, 'response_time': 3.6100668907165527, 'word_count': 249, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.85, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999998, 'source_quality': 0.6, 'response_time': 3.7342188358306885, 'word_count': 6481, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.6, 'source_quality': 0.8999999999999999, 'response_time': 13.882128715515137, 'word_count': 151, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 1.0, 'response_time': 9.590541124343872, 'word_count': 186, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 14.241921186447144, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.3999999999999999, 'source_quality': 0.7999999999999999, 'response_time': 11.160387754440308, 'word_count': 465, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",linkup_standard,provides specific numbers; has quality sources
capital of France,"{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.8999999999999999, 'response_time': 0.5128450393676758, 'word_count': 144, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.6, 'source_quality': 0.8999999999999999, 'response_time': 1.4320430755615234, 'word_count': 28, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.19999999999999987, 'source_quality': 0.8999999999999999, 'response_time': 6.141158103942871, 'word_count': 4260, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.8999999999999999, 'response_time': 1.43137788772583, 'word_count': 228, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.19999999999999987, 'source_quality': 0.8999999999999999, 'response_time': 2.370558977127075, 'word_count': 7105, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.4, 'actionability': 0.8999999999999999}","{'completeness_score': 1.0, 'specificity_score': 0.5, 'source_quality': 0.2, 'response_time': 3.8881218433380127, 'word_count': 6, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5, 'source_quality': 0.9999999999999999, 'response_time': 3.267575979232788, 'word_count': 6, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 6.191631078720093, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.8999999999999999, 'response_time': 5.137843132019043, 'word_count': 80, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",you,provides specific numbers; has quality sources
web research pricing rates per hour deliverables 'web research services' pricing 'freelance' 'hourly rate' 2024 2025,"{'completeness_score': 0.5857142857142857, 'specificity_score': 0.7999999999999999, 'source_quality': 0.6, 'response_time': 0.6706788539886475, 'word_count': 48, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.51590895652771, 'word_count': 39, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.942857142857143, 'specificity_score': 0.2499999999999998, 'source_quality': 0.6, 'response_time': 7.16128396987915, 'word_count': 6078, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 0.7}","{'completeness_score': 0.8714285714285713, 'specificity_score': 0.7499999999999999, 'source_quality': 0.7, 'response_time': 1.6146528720855713, 'word_count': 226, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.85, 'actionability': 0.5}","{'completeness_score': 0.942857142857143, 'specificity_score': 0.09999999999999981, 'source_quality': 0.7, 'response_time': 3.0110650062561035, 'word_count': 10231, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.20000000000000004, 'actionability': 0.8999999999999999}","{'completeness_score': 0.942857142857143, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7, 'response_time': 14.180396795272827, 'word_count': 202, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.5}","{'completeness_score': 0.942857142857143, 'specificity_score': 0.6499999999999999, 'source_quality': 0.7999999999999999, 'response_time': 7.163372039794922, 'word_count': 224, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 8.554623126983643, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.8714285714285713, 'specificity_score': 0.6499999999999999, 'source_quality': 0.6, 'response_time': 16.374244213104248, 'word_count': 393, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.7}",valyu,provides specific numbers; gives specific details; has quality sources; confident answer
best tools for web research 2025 'web research' tools list 'search specialists' tools,"{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 0.7053942680358887, 'word_count': 147, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7000000000000001, 'specificity_score': 0.6, 'source_quality': 0.6, 'response_time': 2.7538208961486816, 'word_count': 31, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.14999999999999983, 'source_quality': 0.6, 'response_time': 11.283163070678711, 'word_count': 8140, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.55, 'actionability': 0.8999999999999999}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.6499999999999999, 'source_quality': 0.7, 'response_time': 2.433871030807495, 'word_count': 247, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.09999999999999981, 'source_quality': 0.6, 'response_time': 3.8532700538635254, 'word_count': 10537, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.45000000000000007, 'actionability': 1.0}","{'completeness_score': 0.9, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 16.631351947784424, 'word_count': 226, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.7, 'source_quality': 0.8999999999999999, 'response_time': 9.067611932754517, 'word_count': 266, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.113872051239014, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 24.918792963027954, 'word_count': 432, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",you,provides specific numbers; has quality sources
additional services offered by web search specialist list advanced services 'web search specialist' services,"{'completeness_score': 0.9, 'specificity_score': 0.7, 'source_quality': 0.7999999999999999, 'response_time': 1.3311760425567627, 'word_count': 184, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.7, 'specificity_score': 0.5, 'source_quality': 0.9999999999999999, 'response_time': 2.6363468170166016, 'word_count': 26, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9999999999999999, 'specificity_score': 0.2499999999999998, 'source_quality': 0.7, 'response_time': 11.798663139343262, 'word_count': 8809, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7499999999999999, 'actionability': 0.8999999999999999}","{'completeness_score': 0.9999999999999999, 'specificity_score': 0.7, 'source_quality': 0.7999999999999999, 'response_time': 1.5720319747924805, 'word_count': 218, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9999999999999999, 'specificity_score': 0, 'source_quality': 0.7, 'response_time': 2.2597169876098633, 'word_count': 10115, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6000000000000001, 'actionability': 0.8999999999999999}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 0, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9, 'specificity_score': 0.6, 'source_quality': 0.7999999999999999, 'response_time': 8.41777491569519, 'word_count': 266, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 7.254040002822876, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 9.228764295578003, 'word_count': 450, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",valyu,provides specific numbers; has quality sources
examples of web research tasks and deliverables for web search specialists,"{'completeness_score': 0.85, 'specificity_score': 0.44999999999999996, 'source_quality': 0.7, 'response_time': 0.812842845916748, 'word_count': 178, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.75, 'actionability': 0.5}","{'completeness_score': 0.85, 'specificity_score': 0.5, 'source_quality': 0.6, 'response_time': 1.4836311340332031, 'word_count': 31, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0, 'source_quality': 0.7999999999999999, 'response_time': 7.494457006454468, 'word_count': 5267, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.3500000000000001, 'actionability': 0.8999999999999999}","{'completeness_score': 0.975, 'specificity_score': 0.14999999999999994, 'source_quality': 0.7, 'response_time': 1.4476580619812012, 'word_count': 241, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0, 'source_quality': 0.7999999999999999, 'response_time': 2.259382963180542, 'word_count': 11409, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6499999999999999, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.6, 'source_quality': 0.9999999999999999, 'response_time': 15.556302785873413, 'word_count': 215, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 1.0, 'specificity_score': 0.6, 'source_quality': 0.9999999999999999, 'response_time': 9.215808153152466, 'word_count': 175, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.7}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.165321111679077, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 8.432467937469482, 'word_count': 415, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}",linkup_standard,has quality sources
what can a web search specialist do list of capabilities examples,"{'completeness_score': 0.8777777777777778, 'specificity_score': 0.6, 'source_quality': 0.7, 'response_time': 1.0221080780029297, 'word_count': 189, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.5444444444444444, 'specificity_score': 0.5, 'source_quality': 0.7, 'response_time': 1.502918004989624, 'word_count': 27, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0, 'source_quality': 0.7, 'response_time': 9.396972894668579, 'word_count': 6393, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.2500000000000001, 'actionability': 0.5}","{'completeness_score': 0.8777777777777778, 'specificity_score': 0.44999999999999996, 'source_quality': 0.7, 'response_time': 1.3336701393127441, 'word_count': 241, 'has_numbers': False, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0, 'source_quality': 0.7, 'response_time': 2.092427968978882, 'word_count': 10888, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5000000000000001, 'actionability': 0.8999999999999999}","{'completeness_score': 0.9666666666666667, 'specificity_score': 0.5499999999999999, 'source_quality': 0.7, 'response_time': 14.071501970291138, 'word_count': 280, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.9666666666666667, 'specificity_score': 0.7, 'source_quality': 0.7, 'response_time': 9.297513008117676, 'word_count': 323, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 10.918039798736572, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 1.0, 'specificity_score': 0.7, 'source_quality': 0.8999999999999999, 'response_time': 13.974965810775757, 'word_count': 347, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",perplexity,provides specific numbers; has quality sources
Snowflake Summit 2025 video YouTube 'Snowflake Summit 2025' 'Cortex AISQL' 'Snowflake' video 'earnings call' 'Snowflake earnings call 2025' YouTube,"{'completeness_score': 0.5142857142857142, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 0.6255197525024414, 'word_count': 88, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 2.743112325668335, 'word_count': 27, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.4999999999999999, 'source_quality': 0.6, 'response_time': 7.214034080505371, 'word_count': 4823, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.5, 'actionability': 0.8999999999999999}","{'completeness_score': 0.5857142857142857, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 1.4944570064544678, 'word_count': 70, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.3999999999999998, 'source_quality': 0.6, 'response_time': 2.676172971725464, 'word_count': 4671, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.30000000000000004, 'actionability': 0.8999999999999999}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.7, 'source_quality': 0.6, 'response_time': 21.490277767181396, 'word_count': 347, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.5499999999999999, 'source_quality': 0.6, 'response_time': 11.039544105529785, 'word_count': 137, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}","{'completeness_score': 0.0, 'specificity_score': 0.5, 'source_quality': 0.0, 'response_time': 9.151299953460693, 'word_count': 0, 'has_numbers': False, 'has_specific_names': False, 'confidence_level': 0.7, 'actionability': 0.5}","{'completeness_score': 0.7999999999999999, 'specificity_score': 0.4999999999999999, 'source_quality': 0.6, 'response_time': 9.739536046981812, 'word_count': 533, 'has_numbers': True, 'has_specific_names': True, 'confidence_level': 0.6, 'actionability': 0.5}",tavily,provides specific numbers; has quality sources
